"station_id","obsTime","ELEV","WDIR","WDSD","TEMP","HUMD","PRES","SUN","H_24R","H_FX","H_XD","H_FXT","D_TX","D_TXT","D_TN","D_TNT"
"C0C490","2019-07-12 00:00:00","157.000","178.000","1.000","28.400","0.800","992.600","-99.000","0.000","-99.000","-99.000","-99.000","35.000","","26.600",""
"C0X160","2019-07-12 00:00:00","26.000","117.000","1.600","25.900","0.900","1009.300","-99.000","38.000","-99.000","-99.000","-99.000","30.200","","24.500",""
"C0S760","2019-07-12 00:00:00","1621.000","0.000","0.000","18.300","1.000","840.600","-99.000","0.000","-99.000","-99.000","-99.000","25.000","","17.800",""
"C0O830","2019-07-12 00:00:00","127.000","162.000","0.300","25.200","0.950","998.200","-99.000","8.000","-99.000","-99.000","-99.000","31.800","","24.400",""
"C0A9A0","2019-07-12 00:00:00","24.000","7.000","1.200","27.500","0.810","1007.800","-99.000","5.500","-99.000","-99.000","-99.000","33.500","","27.500",""
"C0AD50","2019-07-12 00:00:00","84.000","0.000","0.200","27.900","1.000","1001.500","-99.000","0.000","-99.000","-99.000","-99.000","33.400","","27.200",""
"C0G620","2019-07-12 00:00:00","110.000","197.000","1.200","25.700","0.980","999.900","-99.000","4.000","-99.000","-99.000","-99.000","32.400","","24.900",""
"C0V310","2019-07-12 00:00:00","46.000","0.000","0.000","24.900","1.000","1006.000","-99.000","22.500","-99.000","-99.000","-99.000","30.700","","24.400",""
"C0X110","2019-07-12 00:00:00","20.000","139.000","1.900","26.600","0.970","1010.100","-99.000","31.500","-99.000","-99.000","-99.000","30.600","","24.700",""
"C0S980","2019-07-12 00:00:00","901.000","267.000","2.100","22.200","0.880","912.800","-99.000","14.000","-99.000","-99.000","-99.000","25.800","","21.100",""
"C0O860","2019-07-12 00:00:00","38.000","96.000","1.500","26.600","0.940","1007.200","-99.000","8.500","-99.000","-99.000","-99.000","30.800","","25.200",""
"C0U950","2019-07-12 00:00:00","1012.000","295.000","1.600","22.000","0.920","902.500","-99.000","26.000","-99.000","-99.000","-99.000","26.900","","20.500",""
"C0R260","2019-07-12 00:00:00","76.000","97.000","0.600","24.900","0.990","1003.700","-99.000","94.500","-99.000","-99.000","-99.000","28.000","","23.800",""
"C0G880","2019-07-12 00:00:00","92.000","178.000","0.600","26.600","0.850","1001.900","-99.000","2.000","-99.000","-99.000","-99.000","32.100","","25.300",""
"C0R520","2019-07-12 00:00:00","18.000","91.000","1.400","25.600","0.990","1011.700","-99.000","96.000","-99.000","-99.000","-99.000","30.000","","24.700",""
"C0O810","2019-07-12 00:00:00","161.000","15.000","0.400","24.700","0.990","997.000","-99.000","9.500","-99.000","-99.000","-99.000","31.900","","24.000",""
"C0E790","2019-07-12 00:00:00","344.000","206.000","1.000","25.500","0.910","972.200","-99.000","2.000","-99.000","-99.000","-99.000","30.900","","25.200",""
"C0F9Y0","2019-07-12 00:00:00","3313.000","1.000","1.200","9.200","0.860","689.600","-99.000","0.500","-99.000","-99.000","-99.000","15.000","","8.500",""
"C0A9B0","2019-07-12 00:00:00","7.000","0.000","0.000","28.100","0.780","1009.200","-99.000","5.000","-99.000","-99.000","-99.000","33.500","","28.100",""
"C0S930","2019-07-12 00:00:00","248.000","244.000","1.700","25.700","0.810","983.600","-99.000","0.000","-99.000","-99.000","-99.000","31.700","","24.700",""
"C0M770","2019-07-12 00:00:00","164.000","179.000","1.400","25.600","1.000","992.600","-99.000","0.500","-99.000","-99.000","-99.000","31.700","","25.500",""
"C0R470","2019-07-12 00:00:00","103.000","27.000","0.300","25.700","0.990","1001.300","-99.000","55.500","-99.000","-99.000","-99.000","30.500","","24.600",""
"C0W120","2019-07-12 00:00:00","58.000","167.000","5.900","25.500","0.960","1004.500","-99.000","3.000","-99.000","-99.000","-99.000","27.900","","25.500",""
"C0M670","2019-07-12 00:00:00","43.000","186.000","2.100","27.000","0.900","1006.100","-99.000","5.500","-99.000","-99.000","-99.000","33.000","","25.800",""
"C0G760","2019-07-12 00:00:00","53.000","181.000","0.300","26.800","0.990","1007.500","-99.000","7.000","-99.000","-99.000","-99.000","31.700","","25.200",""
"CM0120","2019-07-12 00:00:00","4.000","189.000","4.100","27.000","0.830","1010.700","-99.000","10.500","-99.000","-99.000","-99.000","30.600","","26.600",""
"C0Z290","2019-07-12 00:00:00","946.000","0.000","0.000","21.500","1.000","909.000","-99.000","0.000","-99.000","-99.000","-99.000","27.000","","21.500",""
"C0F9U0","2019-07-12 00:00:00","74.000","121.000","1.500","28.300","0.810","1002.400","-99.000","6.500","-99.000","-99.000","-99.000","31.800","","26.400",""
"C0AI10","2019-07-12 00:00:00","76.000","0.000","0.000","25.300","0.970","1001.900","-99.000","0.000","-99.000","-99.000","-99.000","34.100","","25.300",""
"C0V530","2019-07-12 00:00:00","34.000","80.000","1.200","25.800","1.000","1007.900","-99.000","37.000","-99.000","-99.000","-99.000","30.100","","24.100",""
"C0R550","2019-07-12 00:00:00","38.000","88.000","0.500","25.200","1.000","1008.800","-99.000","50.000","-99.000","-99.000","-99.000","30.600","","24.700",""
"C0F9L0","2019-07-12 00:00:00","253.000","184.000","0.800","27.300","0.850","982.300","-99.000","6.500","-99.000","-99.000","-99.000","31.600","","25.700",""
"C0A950","2019-07-12 00:00:00","60.000","279.000","5.900","27.200","0.860","1003.600","-99.000","26.500","-99.000","-99.000","-99.000","30.900","","23.900",""
"C0R160","2019-07-12 00:00:00","45.000","0.000","0.000","24.900","0.990","1006.600","-99.000","91.000","-99.000","-99.000","-99.000","29.700","","23.400",""
"C0F9S0","2019-07-12 00:00:00","43.000","149.000","1.300","28.000","0.810","1006.300","-99.000","3.500","-99.000","-99.000","-99.000","31.300","","26.500",""
"C0M820","2019-07-12 00:00:00","980.000","0.000","0.000","20.100","0.890","906.900","-99.000","3.000","-99.000","-99.000","-99.000","28.400","","18.900",""
"C0G870","2019-07-12 00:00:00","12.000","195.000","2.800","27.000","0.910","1010.600","-99.000","8.000","-99.000","-99.000","-99.000","33.100","","26.000",""
